X,Y,OBJECTID,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Recovered,Deaths,Active,Admin2,FIPS,Combined_Key,Incident_Rate,People_Tested,People_Hospitalized,UID,ISO3
-86.64408227,32.53952745,1,Alabama,US,2021/04/12 15:21:04+00,32.53952745,-86.64408227,6727,,103,,Autauga,01001,"Autauga, Alabama, US",12040.6665592726,,,84001001,USA
-87.72207058,30.7277499100001,2,Alabama,US,2021/04/12 15:21:04+00,30.72774991,-87.72207058,20638,,300,,Baldwin,01003,"Baldwin, Alabama, US",9245.00748093928,,,84001003,USA
-85.3871286,31.8682630000001,3,Alabama,US,2021/04/12 15:21:04+00,31.868263,-85.3871286,2249,,55,,Barbour,01005,"Barbour, Alabama, US",9110.4269626509,,,84001005,USA
-87.1251146,32.9964206400001,4,Alabama,US,2021/04/12 15:21:04+00,32.99642064,-87.1251146,2564,,58,,Bibb,01007,"Bibb, Alabama, US",11449.4954005537,,,84001007,USA
-86.5679059299999,33.9821091800001,5,Alabama,US,2021/04/12 15:21:04+00,33.98210918,-86.56790593,6488,,135,,Blount,01009,"Blount, Alabama, US",11219.8664960398,,,84001009,USA
-85.71265535,32.10030533,6,Alabama,US,2021/04/12 15:21:04+00,32.10030533,-85.71265535,1213,,40,,Bullock,01011,"Bullock, Alabama, US",12008.712008712,,,84001011,USA
-86.68057478,31.7530009500001,7,Alabama,US,2021/04/12 15:21:04+00,31.75300095,-86.68057478,2123,,66,,Butler,01013,"Butler, Alabama, US",10916.2895927602,,,84001013,USA
-85.8263038599999,33.77483727,8,Alabama,US,2021/04/12 15:21:04+00,33.77483727,-85.82630386,14286,,311,,Calhoun,01015,"Calhoun, Alabama, US",12575.1507416047,,,84001015,USA
-85.39072749,32.91360079,9,Alabama,US,2021/04/12 15:21:04+00,32.91360079,-85.39072749,3500,,122,,Chambers,01017,"Chambers, Alabama, US",10525.0496180911,,,84001017,USA
-85.60638968,34.1780598300001,10,Alabama,US,2021/04/12 15:21:04+00,34.17805983,-85.60638968,1820,,44,,Cherokee,01019,"Cherokee, Alabama, US",6947.62559169339,,,84001019,USA
-86.7173256,32.85044126,11,Alabama,US,2021/04/12 15:21:04+00,32.85044126,-86.7173256,4083,,109,,Chilton,01021,"Chilton, Alabama, US",9190.15035563158,,,84001021,USA
-88.2656443,32.02227341,12,Alabama,US,2021/04/12 15:21:04+00,32.02227341,-88.2656443,587,,24,,Choctaw,01023,"Choctaw, Alabama, US",4662.80085789181,,,84001023,USA
-87.83548597,31.6809985900001,13,Alabama,US,2021/04/12 15:21:04+00,31.68099859,-87.83548597,3463,,60,,Clarke,01025,"Clarke, Alabama, US",14660.0626534586,,,84001025,USA
-85.85836077,33.26984193,14,Alabama,US,2021/04/12 15:21:04+00,33.26984193,-85.85836077,1494,,54,,Clay,01027,"Clay, Alabama, US",11288.2508500189,,,84001027,USA
-85.5200589899999,33.6767920400001,15,Alabama,US,2021/04/12 15:21:04+00,33.67679204,-85.52005899,1460,,41,,Cleburne,01029,"Cleburne, Alabama, US",9792.08584842388,,,84001029,USA
-85.98901039,31.3993282600001,16,Alabama,US,2021/04/12 15:21:04+00,31.39932826,-85.98901039,5401,,112,,Coffee,01031,"Coffee, Alabama, US",10318.6733407206,,,84001031,USA
-87.80168544,34.69847452,17,Alabama,US,2021/04/12 15:21:04+00,34.69847452,-87.80168544,6205,,130,,Colbert,01033,"Colbert, Alabama, US",11232.5989753987,,,84001033,USA
-86.99320044,31.4340170300001,18,Alabama,US,2021/04/12 15:21:04+00,31.43401703,-86.99320044,1090,,28,,Conecuh,01035,"Conecuh, Alabama, US",9032.89964365625,,,84001035,USA
